Geneid,GSM5290389_Snr1KD_RNA-seq_Ov_rep1,GSM5290390_Snr1KD_RNA-seq_Ov_rep2,GSM5290391_mod_mdg4KD_RNA-seq_Ov_rep1,GSM5290392_mod_mdg4KD_RNA-seq_Ov_rep2
FBgn0029152,14320,17739,25546,23914
FBgn0026371,3299,4412,3853,3606
FBgn0015239,6330,7058,9623,9015
FBgn0037086,1,5,1,0
FBgn0037085,13,14,8,4
FBgn0014143,5,4,11,5
FBgn0037082,3178,3814,4275,4152
FBgn0037081,6535,7969,9723,9224
FBgn0002842,0,0,0,0
FBgn0037078,11,5,14,15
FBgn0037076,1366,1861,2598,2384
FBgn0037074,10798,13226,12844,12759
FBgn0003042,2960,2990,3470,3362
FBgn0037070,2292,2755,4794,4591
FBgn0037067,1,0,0,0
FBgn0037065,19,15,39,29
FBgn0027945,2752,3431,3587,3383
FBgn0037064,11,11,4,1
FBgn0037063,3416,3191,4843,4447
FBgn0037106,4062,5239,3704,3697
